T,W,SR,DSP,DRH,PanE
0.2744063324538259,0.24340291453328078,0.11453218314532185,0.6666666666666666,0.759493670886076,0.049689440993788817
0.2981530343007916,0.19207036891164503,0.13550099535500995,0.6666666666666666,0.759493670886076,0.049689440993788817
0.39050131926121373,0.5221215701719837,0.09741207697412077,0.512820512820514,0.5822784810126582,0.11801242236024843
0.3562005277044855,0.5078114743337272,0.1486396814863968,0.3589743589743576,0.7341772151898734,0.10559006211180123
0.32981530343007914,0.38584744650124714,0.10935633709356338,0.512820512820514,0.6075949367088608,0.09316770186335403
0.2585751978891821,0.37206249179466977,0.07405441274054414,0.5641025641025624,0.7721518987341772,0.049689440993788817
0.2770448548812665,0.32243665485099116,0.12554744525547445,0.6410256410256424,0.7468354430379747,0.05590062111801242
0.24010554089709762,0.23027438624130228,0.2639681486396815,0.7948717948717952,0.7341772151898734,0.06211180124223602
0.19525065963060687,0.14900879611395565,0.1519575315195753,0.8717948717948715,0.8987341772151899,0.024844720496894408
0.1978891820580475,0.25128003150846784,0.11479761114797611,0.8461538461538473,0.8481012658227848,0.03105590062111801
0.16886543535620055,0.3475121438886701,0.15872594558725944,0.7692307692307709,0.8354430379746836,0.03726708074534161
0.158311345646438,0.35643954312721543,0.10099535500995355,0.7435897435897431,0.8734177215189873,0.03105590062111801
0.20316622691292877,0.14953393724563474,0.12315859323158594,0.7692307692307709,0.8481012658227848,0.03105590062111801
0.21635883905013192,0.2117631613496127,0.16801592568015924,0.6666666666666666,0.6455696202531646,0.05590062111801242
0.17678100263852245,0.2967047393987134,0.25308560053085605,0.46153846153846184,0.620253164556962,0.07453416149068322
0.1029023746701847,0.35355126690298017,0.16987392169873922,0.5897435897435903,0.759493670886076,0.05590062111801242
0.16886543535620055,0.2279112511487462,0.3236894492368945,0.7179487179487188,0.4177215189873418,0.10559006211180123
0.20052770448548812,0.2620454247078902,0.21433311214333112,0.7435897435897431,0.4050632911392405,0.09937888198757763
0.19261213720316622,0.27569909413154786,0.31214333112143333,0.6410256410256424,0.4936708860759494,0.09937888198757763
0.2559366754617414,0.27031639753183667,0.3069674850696748,0.7435897435897431,0.31645569620253167,0.14285714285714282
0.24802110817941955,0.24826047000131285,0.3140013271400133,0.7692307692307709,0.3291139240506329,0.13664596273291926
0.2638522427440633,0.33858474465012467,0.17518248175182483,0.5897435897435903,0.4430379746835443,0.11801242236024843
0.33509234828496043,0.35223841407378237,0.3051094890510949,0.5384615384615382,0.6329113924050633,0.13043478260869565
0.32717678100263853,0.2691348299855586,0.14850696748506967,0.7179487179487188,0.620253164556962,0.08074534161490683
0.36675461741424803,0.15911776289877907,0.3267418712674187,0.7948717948717952,0.5569620253164557,0.11180124223602483
0.39050131926121373,0.23565708284101353,0.32143331121433316,0.692307692307691,0.5949367088607594,0.12422360248447203
0.4643799472295515,0.5717474071156624,0.11824817518248175,0.512820512820514,0.620253164556962,0.16149068322981366
0.37467018469656993,0.46829460417487195,0.20451227604512276,0.6153846153846145,0.5949367088607594,0.13664596273291926
0.3377308707124011,0.37980832348693716,0.2690112806901128,0.5897435897435903,0.6075949367088608,0.12422360248447203
0.3720316622691293,0.47971642378889323,0.21512939615129395,0.5384615384615382,0.5822784810126582,0.14285714285714282
0.26649076517150394,0.36064067218064855,0.13563370935633712,0.7179487179487188,0.8481012658227848,0.04347826086956521
0.3377308707124011,0.33740317710384665,0.3481088254810882,0.5897435897435903,0.5316455696202531,0.14285714285714282
0.40105540897097625,0.4773532886963371,0.13642999336429995,0.46153846153846184,0.4936708860759494,0.14285714285714282
0.3535620052770449,0.39241171064723646,0.16708692767086927,0.5641025641025624,0.810126582278481,0.06832298136645963
0.3773087071240106,0.22489168964159117,0.26728599867286,0.692307692307691,0.6455696202531646,0.09937888198757763
0.35883905013192613,0.1771038466587895,0.3854014598540146,0.7435897435897431,0.6455696202531646,0.11180124223602483
0.3931398416886544,0.22252855454903508,0.37159920371599203,0.7179487179487188,0.4936708860759494,0.13664596273291926
0.4564643799472296,0.29906787449126954,0.37159920371599203,0.6153846153846145,0.34177215189873417,0.20496894409937885
0.46701846965699206,0.2889589077064461,0.3210351692103517,0.48717948717948606,0.3037974683544304,0.22360248447204967
0.49868073878627966,0.28528291978469206,0.15819508958195092,0.46153846153846184,0.4936708860759494,0.15527950310559005
0.5065963060686016,0.33254562163581464,0.4163238221632382,0.48717948717948606,0.5822784810126582,0.19875776397515527
0.49340369393139843,0.31587239070500195,0.17465162574651624,0.6410256410256424,0.6075949367088608,0.13043478260869565
0.4432717678100264,0.4743337271891821,0.14280026542800264,0.6666666666666666,0.7721518987341772,0.08695652173913042
0.5118733509234829,0.4413811211763161,0.12634372926343732,0.5641025641025624,0.7088607594936709,0.14906832298136644
0.4036939313984169,0.2560063016935802,0.3705374917053749,0.6410256410256424,0.6075949367088608,0.16149068322981366
